HomeTeam,AwayTeam,H Shots,A Shots,H SOT,A SOT,H Corners,A Corners,H Fouls,A Fouls,H Yellow,A Yellow,H Red,A Red,League,Match_Result
53,40,17.0,7.0,4.0,3.0,5.0,2.0,13.0,12.0,2.0,3.0,0.0,1.0,1,1
67,24,12.0,5.0,3.0,3.0,6.0,5.0,6.0,11.0,2.0,2.0,0.0,0.0,1,2
13,36,11.0,13.0,0.0,7.0,3.0,4.0,15.0,13.0,1.0,2.0,0.0,0.0,1,2
55,33,7.0,17.0,3.0,1.0,1.0,10.0,5.0,12.0,1.0,3.0,0.0,0.0,1,1
40,32,8.0,9.0,2.0,3.0,3.0,6.0,10.0,11.0,0.0,2.0,0.0,0.0,1,2
17,35,9.0,18.0,2.0,6.0,5.0,3.0,11.0,10.0,3.0,1.0,0.0,0.0,1,2
61,31,20.0,18.0,7.0,5.0,3.0,5.0,15.0,13.0,2.0,1.0,1.0,0.0,1,1
10,67,13.0,11.0,4.0,4.0,5.0,8.0,13.0,8.0,2.0,1.0,0.0,0.0,1,0
21,53,9.0,7.0,4.0,2.0,3.0,6.0,8.0,18.0,1.0,3.0,0.0,0.0,1,1
63,0,7.0,21.0,3.0,12.0,3.0,5.0,7.0,4.0,1.0,2.0,0.0,0.0,1,2
36,1,19.0,5.0,9.0,5.0,5.0,10.0,22.0,10.0,4.0,0.0,0.0,0.0,1,1
24,64,10.0,11.0,2.0,5.0,5.0,4.0,9.0,7.0,2.0,0.0,0.0,0.0,1,2
40,33,8.0,11.0,2.0,4.0,5.0,12.0,9.0,13.0,2.0,3.0,0.0,0.0,1,0
55,64,8.0,8.0,3.0,3.0,4.0,3.0,16.0,15.0,3.0,1.0,0.0,0.0,1,0
13,53,5.0,7.0,3.0,3.0,3.0,5.0,13.0,17.0,1.0,2.0,0.0,0.0,1,1
36,67,11.0,9.0,3.0,5.0,2.0,2.0,11.0,7.0,1.0,1.0,0.0,0.0,1,1
63,31,4.0,14.0,1.0,6.0,3.0,10.0,7.0,10.0,0.0,1.0,0.0,0.0,1,2
10,0,13.0,11.0,2.0,3.0,5.0,4.0,11.0,4.0,2.0,0.0,0.0,0.0,1,2
17,1,16.0,10.0,5.0,2.0,11.0,4.0,16.0,3.0,3.0,1.0,0.0,0.0,1,0
21,32,4.0,17.0,1.0,3.0,2.0,5.0,10.0,7.0,0.0,1.0,0.0,0.0,1,0
64,10,11.0,13.0,4.0,4.0,5.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,1,0
33,63,17.0,5.0,2.0,3.0,8.0,3.0,8.0,5.0,0.0,1.0,0.0,0.0,1,0
31,13,11.0,14.0,4.0,6.0,4.0,12.0,8.0,14.0,0.0,3.0,0.0,0.0,1,1
67,61,11.0,6.0,6.0,3.0,9.0,2.0,20.0,13.0,4.0,1.0,0.0,0.0,1,0
32,36,10.0,9.0,2.0,4.0,5.0,0.0,10.0,17.0,2.0,1.0,0.0,0.0,1,0
35,40,11.0,7.0,6.0,2.0,7.0,3.0,5.0,12.0,2.0,2.0,0.0,0.0,1,1
1,21,21.0,13.0,10.0,6.0,4.0,4.0,18.0,16.0,1.0,4.0,1.0,0.0,1,1
53,24,10.0,7.0,2.0,3.0,6.0,3.0,11.0,10.0,2.0,4.0,0.0,0.0,1,2
25,55,10.0,3.0,1.0,2.0,6.0,3.0,15.0,12.0,2.0,0.0,0.0,0.0,1,0
0,17,15.0,19.0,7.0,3.0,7.0,9.0,13.0,10.0,2.0,1.0,0.0,0.0,1,1
13,67,10.0,15.0,4.0,3.0,1.0,7.0,11.0,15.0,2.0,1.0,0.0,0.0,1,1
17,64,11.0,6.0,7.0,0.0,5.0,4.0,11.0,6.0,0.0,0.0,0.0,0.0,1,1
61,32,8.0,17.0,3.0,4.0,5.0,3.0,15.0,14.0,2.0,2.0,0.0,0.0,1,2
10,53,21.0,5.0,5.0,3.0,14.0,2.0,9.0,11.0,1.0,5.0,0.0,1.0,1,0
36,31,26.0,17.0,14.0,3.0,11.0,13.0,6.0,6.0,1.0,0.0,0.0,0.0,1,1
63,1,1.0,19.0,1.0,10.0,1.0,7.0,14.0,8.0,1.0,2.0,1.0,0.0,1,2
24,0,9.0,13.0,2.0,2.0,4.0,3.0,9.0,9.0,1.0,3.0,0.0,0.0,1,1
40,25,12.0,11.0,5.0,4.0,2.0,9.0,7.0,17.0,1.0,2.0,0.0,1.0,1,0
55,35,9.0,11.0,3.0,5.0,6.0,6.0,9.0,11.0,2.0,2.0,0.0,0.0,1,2
21,33,5.0,14.0,3.0,8.0,5.0,4.0,5.0,11.0,1.0,0.0,0.0,0.0,1,2
1,13,27.0,6.0,7.0,4.0,11.0,1.0,17.0,19.0,1.0,1.0,0.0,0.0,1,0
53,36,12.0,14.0,6.0,8.0,6.0,3.0,17.0,8.0,3.0,2.0,0.0,0.0,1,2
32,24,14.0,11.0,2.0,6.0,4.0,6.0,12.0,9.0,2.0,3.0,0.0,0.0,1,2
64,21,9.0,8.0,2.0,2.0,5.0,3.0,8.0,12.0,0.0,1.0,0.0,1.0,1,0
33,61,17.0,8.0,11.0,2.0,7.0,4.0,8.0,9.0,0.0,2.0,0.0,0.0,1,1
25,10,9.0,9.0,4.0,4.0,1.0,8.0,15.0,11.0,1.0,0.0,0.0,0.0,1,0
0,55,9.0,13.0,4.0,3.0,2.0,7.0,13.0,13.0,1.0,3.0,1.0,0.0,1,0
31,40,25.0,10.0,10.0,4.0,7.0,4.0,10.0,13.0,3.0,1.0,0.0,0.0,1,1
35,63,26.0,5.0,7.0,1.0,13.0,2.0,5.0,8.0,2.0,3.0,0.0,0.0,1,0
67,17,12.0,13.0,4.0,3.0,5.0,6.0,12.0,12.0,2.0,2.0,0.0,0.0,1,1
21,61,16.0,14.0,5.0,6.0,4.0,7.0,15.0,11.0,1.0,1.0,0.0,0.0,1,0
32,10,15.0,12.0,6.0,4.0,9.0,5.0,9.0,11.0,2.0,1.0,0.0,0.0,1,1
55,53,16.0,3.0,6.0,0.0,8.0,4.0,8.0,14.0,0.0,1.0,0.0,0.0,1,1
25,33,10.0,12.0,5.0,6.0,6.0,8.0,9.0,5.0,3.0,1.0,0.0,0.0,1,0
0,13,18.0,10.0,6.0,2.0,13.0,4.0,5.0,11.0,2.0,1.0,1.0,0.0,1,2
24,17,9.0,10.0,4.0,3.0,6.0,6.0,10.0,11.0,2.0,3.0,0.0,0.0,1,1
36,35,11.0,9.0,2.0,2.0,4.0,3.0,13.0,6.0,1.0,1.0,0.0,0.0,1,0
40,63,12.0,13.0,7.0,3.0,4.0,3.0,9.0,12.0,2.0,3.0,0.0,0.0,1,1
67,1,16.0,13.0,7.0,2.0,5.0,8.0,23.0,15.0,2.0,5.0,0.0,0.0,1,2
31,64,13.0,19.0,7.0,8.0,5.0,6.0,12.0,10.0,1.0,2.0,0.0,0.0,1,2
10,55,12.0,10.0,4.0,3.0,4.0,3.0,12.0,12.0,3.0,3.0,0.0,0.0,1,2
33,67,11.0,9.0,6.0,3.0,4.0,6.0,8.0,14.0,1.0,1.0,0.0,0.0,1,1
53,32,4.0,13.0,1.0,4.0,6.0,5.0,13.0,6.0,1.0,3.0,0.0,0.0,1,2
63,21,9.0,18.0,4.0,6.0,4.0,6.0,10.0,16.0,2.0,2.0,1.0,0.0,1,2
61,0,6.0,11.0,3.0,2.0,3.0,9.0,16.0,12.0,1.0,2.0,0.0,0.0,1,1
64,36,19.0,15.0,6.0,6.0,5.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,1,2
13,24,8.0,13.0,3.0,6.0,8.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,1,0
35,25,16.0,6.0,6.0,1.0,9.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,1,1
17,31,23.0,8.0,11.0,3.0,8.0,4.0,12.0,9.0,0.0,2.0,0.0,0.0,1,1
32,25,16.0,10.0,3.0,5.0,6.0,5.0,9.0,21.0,0.0,2.0,0.0,0.0,1,2
64,1,6.0,16.0,2.0,6.0,3.0,7.0,20.0,7.0,1.0,1.0,0.0,0.0,1,1
55,36,10.0,15.0,5.0,6.0,5.0,9.0,12.0,12.0,1.0,0.0,0.0,0.0,1,2
0,67,13.0,11.0,2.0,5.0,8.0,4.0,13.0,13.0,3.0,4.0,0.0,0.0,1,2
17,61,13.0,5.0,3.0,1.0,3.0,3.0,20.0,9.0,4.0,2.0,0.0,0.0,1,0
35,13,19.0,9.0,6.0,1.0,6.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,1,1
63,53,17.0,21.0,6.0,5.0,14.0,9.0,10.0,9.0,2.0,3.0,0.0,0.0,1,1
10,33,11.0,6.0,3.0,2.0,4.0,3.0,9.0,13.0,2.0,1.0,0.0,0.0,1,0
24,31,15.0,23.0,8.0,7.0,4.0,2.0,8.0,14.0,1.0,2.0,0.0,0.0,1,2
21,40,12.0,14.0,3.0,7.0,7.0,3.0,9.0,10.0,2.0,2.0,0.0,0.0,1,2
13,21,10.0,15.0,4.0,5.0,4.0,7.0,13.0,9.0,2.0,0.0,0.0,0.0,1,1
67,55,20.0,7.0,9.0,2.0,7.0,4.0,14.0,13.0,2.0,0.0,0.0,0.0,1,0
31,0,25.0,9.0,4.0,2.0,5.0,3.0,9.0,8.0,3.0,0.0,0.0,1.0,1,0
53,64,9.0,15.0,5.0,3.0,2.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,1,2
33,32,24.0,11.0,13.0,4.0,10.0,3.0,15.0,6.0,0.0,2.0,0.0,0.0,1,1
25,24,14.0,9.0,6.0,7.0,2.0,5.0,14.0,10.0,2.0,0.0,0.0,0.0,1,2
1,10,15.0,7.0,4.0,3.0,12.0,3.0,5.0,18.0,2.0,1.0,0.0,1.0,1,2
61,35,4.0,22.0,2.0,5.0,0.0,10.0,13.0,19.0,2.0,2.0,0.0,0.0,1,1
40,17,8.0,14.0,1.0,3.0,7.0,4.0,11.0,12.0,2.0,0.0,0.0,0.0,1,2
36,63,17.0,7.0,7.0,2.0,8.0,2.0,12.0,17.0,1.0,1.0,0.0,0.0,1,1
0,1,13.0,15.0,2.0,6.0,3.0,8.0,11.0,13.0,0.0,0.0,0.0,0.0,1,2
35,33,7.0,10.0,2.0,3.0,1.0,2.0,19.0,11.0,3.0,1.0,0.0,0.0,1,0
63,61,12.0,19.0,2.0,5.0,9.0,6.0,17.0,12.0,1.0,0.0,0.0,0.0,1,2
32,67,10.0,7.0,3.0,2.0,6.0,3.0,12.0,8.0,2.0,3.0,0.0,0.0,1,1
21,31,10.0,9.0,6.0,3.0,3.0,6.0,9.0,1.0,0.0,2.0,0.0,0.0,1,1
64,25,16.0,13.0,7.0,3.0,9.0,5.0,10.0,9.0,2.0,2.0,0.0,0.0,1,1
17,53,20.0,6.0,9.0,3.0,6.0,7.0,5.0,14.0,0.0,2.0,0.0,0.0,1,1
24,36,7.0,13.0,1.0,5.0,5.0,2.0,12.0,19.0,4.0,2.0,0.0,0.0,1,2
10,13,19.0,4.0,3.0,1.0,5.0,3.0,11.0,5.0,1.0,0.0,0.0,0.0,1,0
55,40,15.0,4.0,8.0,2.0,8.0,3.0,12.0,11.0,1.0,2.0,0.0,0.0,1,1
31,32,11.0,10.0,4.0,8.0,10.0,3.0,9.0,5.0,1.0,1.0,0.0,0.0,1,2
25,63,13.0,10.0,6.0,1.0,5.0,2.0,13.0,11.0,3.0,2.0,0.0,0.0,1,1
36,0,8.0,7.0,2.0,2.0,6.0,3.0,12.0,12.0,3.0,3.0,0.0,0.0,1,2
61,10,9.0,6.0,3.0,2.0,4.0,5.0,14.0,13.0,2.0,1.0,0.0,0.0,1,1
1,55,19.0,9.0,10.0,4.0,11.0,1.0,12.0,17.0,1.0,2.0,0.0,0.0,1,2
40,24,11.0,15.0,4.0,4.0,5.0,4.0,9.0,10.0,2.0,4.0,0.0,0.0,1,1
13,17,5.0,14.0,0.0,9.0,3.0,4.0,10.0,15.0,1.0,0.0,0.0,0.0,1,2
33,64,9.0,4.0,5.0,3.0,1.0,2.0,13.0,14.0,0.0,1.0,0.0,0.0,1,1
53,35,5.0,16.0,1.0,8.0,2.0,5.0,14.0,6.0,0.0,0.0,0.0,0.0,1,2
67,21,15.0,11.0,5.0,2.0,7.0,6.0,13.0,4.0,0.0,2.0,0.0,1.0,1,1
10,63,5.0,9.0,3.0,3.0,6.0,2.0,14.0,7.0,2.0,0.0,0.0,0.0,1,0
13,61,13.0,9.0,4.0,3.0,4.0,5.0,9.0,7.0,2.0,0.0,0.0,0.0,1,2
67,40,16.0,5.0,3.0,2.0,2.0,3.0,10.0,10.0,0.0,1.0,0.0,0.0,1,0
0,32,12.0,6.0,4.0,2.0,9.0,3.0,13.0,9.0,3.0,5.0,0.0,0.0,1,2
55,24,12.0,6.0,6.0,2.0,4.0,5.0,11.0,11.0,1.0,2.0,0.0,1.0,1,1
33,53,17.0,13.0,5.0,2.0,7.0,3.0,7.0,15.0,0.0,3.0,0.0,0.0,1,1
64,35,6.0,14.0,2.0,7.0,2.0,10.0,14.0,6.0,2.0,0.0,0.0,0.0,1,0
25,21,16.0,14.0,3.0,10.0,4.0,4.0,11.0,11.0,0.0,1.0,1.0,0.0,1,2
36,17,14.0,6.0,4.0,1.0,9.0,6.0,8.0,6.0,3.0,1.0,0.0,0.0,1,0
